Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-07-04,-,Canadian Bankers Association,-,Anthony Ostler,"Service Alberta, Alberta Treasury Board and Finance",-,Consumer Issues,OL-10246-21,Organization Lobbyist,"Lorraine Krugel, Andrew Lockhart, Alex Gray, Angelina Mason, Anthony Ostler, Dan Ouimet",Semi-Annual Renewal,Archived,View 
2022-07-04,-,P3 Capital Partners Inc.,NorQuest College,Doug Horner,"Alberta Infrastructure, Alberta Health, Alberta Advanced Education",Alberta Health Services,Post-secondary Education,CL-12571-03,Consultant Lobbyist,"Monica Barclay, Jeff Johnson",Notice of Change,Archived,View 
2022-07-04,-,Wellington Advocacy Inc.,The Manufacturers Life Insurance Company,Nick Koolsbergen,"Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Treasury Board and Finance, Premier's Office",-,Insurance,CL-11468-10,Consultant Lobbyist,"Nick Koolsbergen, Trisha Rinneard, Brad Tennant, Peter Csillag, Matt de Jong",Notice of Change,Archived,View 
2022-07-04,-,Wellington Advocacy Inc.,Digital Media Association of Alberta,Nick Koolsbergen,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Science and Technology,CL-12648-02,Consultant Lobbyist,"Peter Csillag, Brad Tennant, Matt de Jong",Notice of Change,Archived,View 
2022-07-04,-,Wellington Advocacy Inc.,Innovative Hydrogen Solutions Inc.,Nick Koolsbergen,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Transportation, Premier's Office",Invest Alberta Corporation,Energy,CL-12638-03,Consultant Lobbyist,"Brad Tennant, Matt de Jong, Nick Koolsbergen, Peter Csillag",Notice of Change,Archived,View 
2022-07-04,2022-10-31,The Capital Hill Group,Canada's Accredited Zoos and Aquariums,David Angus,"Alberta Environment and Parks, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General",-,Agriculture,CL-12802-01,Consultant Lobbyist,"Erin Iverson, Wes McLean",Initial Return,Terminated,View 
2022-07-02,-,New West Public Affairs,Olds College,Monte Solberg,"Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,Post-secondary Education,CL-12599-03,Consultant Lobbyist,"Sarah Painchaud, Monte Solberg, Matt Solberg, Michael Solberg, Keith McLaughlin, Gordon Olsen, Sonia Kont, Graham Gerein, Fahreen Budwhani",Notice of Change,Archived,View 
2022-06-29,-,National Police Federation / Fédération de la Police Nationale,-,Brian Sauve,"Alberta Labour and Immigration, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,"Budget, Health, Justice and Law Enforcement",OL-11952-11,Organization Lobbyist,"Brian Sauve, Sarah Nolan, Colin Buschman, Michelle Boutin, Jeff McGowan, Kevin Halwa, Ana Santarem, Kenneth Boddy, Maryanne King",Notice of Change,Archived,View 
2022-06-29,-,Investment Industry Association of Canada,-,Laura Paglia,-,Alberta Securities Commission,Banks and Other Financial Institutions,OL-10315-17,Organization Lobbyist,"Jack Rando, Adrian Walrath, Todd Evans, Laura Paglia",Notice of Change,Archived,View 
2022-06-29,-,TD Insurance,-,James V. Russell,Alberta Treasury Board and Finance,Alberta Insurance Council,Insurance,OL-10410-16,Organization Lobbyist,"Alain Camirand, You-Im Sim, Marc-Andre Busque, Francois Langevin, Tang Trang, Lynn Whitehead, Moira Gill, James V. Russell",Notice of Change,Archived,View 
2022-06-28,-,CNOOC Petroleum North America ULC,-,Yongjie Liu,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office",-,"Energy, Trade, Environment, Economic Development",OL-10375-46,Organization Lobbyist,"Robbie Armfield, Michael MacPhee, Scott Chalker, Mike Dlugan",Notice of Change,Archived,View 
2022-06-28,-,Innovative Medicines Canada,-,Pamela Fralick,"Service Alberta, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Education, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education",Alberta Health Services,"Employment and Training, Budget, Health, Procurement, Research and Development, Intergovernmental Relations, Economic Development",OL-10310-33,Organization Lobbyist,"Pascal Chan, Michael Dietrich, Pamela E Fralick, Conrad Bellehumeur, Anne-Sophie Belzile",Notice of Change,Archived,View 
2022-06-28,-,Independent Power Producers Society of Alberta,-,Evan Bahry,"Alberta Environment and Parks, Alberta Energy",Alberta Electric System Operator,"Utilities, Environment",OL-10120-13,Organization Lobbyist,Evan Bahry,Semi-Annual Renewal,Archived,View 
2022-06-28,-,Hill+Knowlton Strategies,The Score Media and Gaming,Sheila Wisniewski,"Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission",Gaming,CL-12696-02,Consultant Lobbyist,"Natalie Sigalet, Jarred Anderson",Notice of Change,Archived,View 
2022-06-27,2022-07-11,Crestview Strategy,Riipen,Chad Rogers,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Alberta Advanced Education",-,Employment and Training,CL-12382-03,Consultant Lobbyist,"Taleesha Thorogood, Bill Anderson",Notice of Change,Terminated,View 
2022-06-27,-,Videotron Ltd.,-,Pierre Karl Péladeau,"Service Alberta, Alberta Jobs, Economy and Innovation",-,Telecommunications,OL-12538-02,Organization Lobbyist,"Jad Barsoum, Pierre Bonin",Semi-Annual Renewal,Archived,View 
2022-06-27,-,De Paoli & Associates Inc.,Alberta Greenhouse Growers Association,Anna De Paoli,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development",-,"Energy, Agriculture, Environment, Labour Relations",CL-10286-15,Consultant Lobbyist,Anna De Paoli,Notice of Change,Archived,View 
2022-06-27,-,NOVA Chemicals Corporation,-,Luis Sierra,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Treasury Board and Finance, Premier's Office",-,"Energy, Taxes and Finance, Environment, Economic Development",OL-10386-35,Organization Lobbyist,"Eric Brenner, Shane Lamden, Ken Sonnenberg, Linda Santry, Richard Gilmer, Sarah Marshall, Mark Hodson, Becky Horvath, Amy George, Luis Sierra, Victor Alvarado, Aly Ladha, Tony Tikuisis, Patrick Bias, Ken Faulkner, Rakesh Vermani, James Baldwin, Geoffrey Trickett, Mehdi Keshtkar, Kevin Wilke, Wendy Wright",Notice of Change,Archived,View 
2022-06-27,-,Capital Power Corporation,-,Brian Vaasjo,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Electric System Operator, Market Surveillance Administrator","Energy, Environment",OL-10236-28,Organization Lobbyist,"Grant Berry, Daniel Jurijew, Brian Vaasjo, Kate Chisholm, Ahmed Idriss, Matthew Davis",Notice of Change,Archived,View 
2022-06-27,-,Counsel Public Affairs Inc.,TELUS Corporation,Philip Dewan,Alberta Legislative Assembly,-,"Health, Agriculture, Procurement, Economic Development",CL-12769-01,Consultant Lobbyist,"Jean-Marc Prevost, T.J. Keil, Bradley Lavigne",Initial Return,Archived,View 
2022-06-23,-,Wellington Advocacy Inc.,Orange Acres Development Ltd.,Nick Koolsbergen,"Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly",Invest Alberta Corporation,Economic Development,CL-12783-01,Consultant Lobbyist,"Brad Tennant, Matt de Jong, Peter Csillag",Initial Return,Archived,View 
2022-06-23,-,Wellington Advocacy Inc.,Risio Institute for Digital Dental Education Inc,Nick Koolsbergen,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Advanced Education, Premier's Office",-,Employment and Training,CL-12791-01,Consultant Lobbyist,"Matt de Jong, Peter Csillag, Brad Tennant",Initial Return,Archived,View 
2022-06-22,-,Global Public Affairs,Hologic Canada ULC,Randy Pettipas,"Alberta Culture and Status of Women, Alberta Health",Alberta Health Services,Health,CL-12504-04,Consultant Lobbyist,"Melissa Carvalho, Farid Foroud, Candice Laws",Notice of Change,Archived,View 
2022-06-22,-,Global Public Affairs,"Amazon.com, Inc.",Randy Pettipas,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Executive Council, Service Alberta, Alberta Municipal Affairs, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Premier's Office, Alberta Advanced Education","Alberta Health Services, Alberta Innovates","Health, Procurement, Economic Development",CL-11085-16,Consultant Lobbyist,"Thanh Ngo, Jordan Pinkster, Farid Foroud, Candice Laws, Yonathan Sumamo, Paul Whittaker",Notice of Change,Archived,View 
2022-06-22,-,"Letko, Brosseau & Associates Inc.",-,Daniel Brosseau,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Children’s Services, Alberta Energy, Service Alberta, Alberta Community and Social Services, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office, Alberta Seniors and Housing",-,"Employment and Training, Banks and Other Financial Institutions, Research and Development, Pensions, Economic Development",OL-12790-01,Organization Lobbyist,"Peter Letko, David Després, Daniel Brosseau",Initial Return,Archived,View 
2022-06-21,2022-06-24,Peter Barnes,CloudMD,Peter Barnes,Alberta Justice and Solicitor General,-,Corrections,CL-12782-01,Consultant Lobbyist,Peter Barnes,Initial Return,Terminated,View 
2022-06-21,-,New West Public Affairs,Kiwetinohk Energy,Monte Solberg,"Alberta Environment and Parks, Alberta Energy, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Energy Regulator",Energy,CL-12789-01,Consultant Lobbyist,"Monte Solberg, Matt Solberg, Keith McLaughlin, Gordon Olsen, Fahreen Budhwani, Sarah Painchaud, Graham Gerein, Michael Solberg, Sonia Kont",Initial Return,Archived,View 
2022-06-20,-,Pfizer Canada ULC,-,Najah Sampson,"Alberta Jobs, Economy and Innovation, Alberta Health",-,Health,OL-10336-14,Organization Lobbyist,"Kevin Mohamed, Fabienne Pacquette, Daria Horbay, Bob Dawson, Karine Grand'Maison, Najah Sampson",Notice of Change,Archived,View 
2022-06-20,-,Counsel Public Affairs Inc.,Tourmaline Oil Corp.,Philip Dewan,"Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Executive Council, Premier's Office",Alberta Energy Regulator,"Energy, Environment, Municipal Affairs",CL-12055-17,Consultant Lobbyist,"Brad Lavigne, Amber Ruddy, T.J. Keil",Notice of Change,Archived,View 
2022-06-20,-,Enterprise Canada Inc.,Edmonton Community Development Company,Barbara Fox,"Alberta Infrastructure, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Culture and Status of Women, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education, Alberta Seniors and Housing",-,Arts and Culture,CL-12788-01,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Initial Return,Archived,View 
2022-06-20,-,Crestview Strategy,SMART Cash Canada Holdings ULC,Chad Rogers,"Service Alberta, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Consumer Issues,CL-12778-01,Consultant Lobbyist,"Bill Anderson, Supreena Sekhon",Initial Return,Archived,View 
2022-06-17,-,Montem Resources Alberta Operations Ltd.,-,Peter Doyle,"Alberta Environment and Parks, Alberta Energy, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Premier's Office",Alberta Energy Regulator,Energy,OL-11643-05,Organization Lobbyist,"Peter Doyle, Karlie Stella, Robert Bell, Will Bridge",Semi-Annual Renewal,Archived,View 
2022-06-17,-,New West Public Affairs,NOTARIUS Inc.,Monte Solberg,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Service Alberta, Executive Council, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,Science and Technology,CL-12394-03,Consultant Lobbyist,"Monte Solberg, Matt Solberg, Keith McLaughlin, Sarah Painchaud, Tristan Bray, Michael Solberg, Sonia Kont, Gordon Olsen, Graham Gerein",Notice of Change,Archived,View 
2022-06-17,-,New West Public Affairs,McKesson Canada,Monte Solberg,Alberta Health,Alberta Health Services,Health,CL-12391-02,Consultant Lobbyist,"Matt Solberg, Michael Solberg, Keith McLaughlin, Monte Solberg, Sonia Kont, Tristan Bray, Gordon Olsen, Sarah Painchaud",Notice of Change,Archived,View 
2022-06-17,-,New West Public Affairs,Shaw Communications Inc.,Monte Solberg,"Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Service Alberta, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Health, Alberta Justice and Solicitor General, Alberta Education, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,"Budget, Consumer Issues, Science and Technology, Intergovernmental Relations, Infrastructure, Economic Development, Telecommunications",CL-11845-03,Consultant Lobbyist,"Sarah Painchaud, Sonia Kont, Michael Solberg, Matt Solberg, Keith McLaughlin, Tristan Bray, Monte Solberg",Notice of Change,Archived,View 
2022-06-17,-,Medicine Hat & District Chamber of Commerce,-,Lisa Kowalchuk,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Service Alberta, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Health, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office, Alberta Seniors and Housing",-,"Budget, Energy, Taxes and Finance, Climate, Health, Agriculture, Tourism, Consumer Issues, Post-secondary Education, Social programs, Municipal Affairs, Intergovernmental Relations, Economic Development, K-12 Education, Transportation, Labour Relations, Disaster Services and Emergency Relief, Housing",OL-10836-13,Organization Lobbyist,"Lisa Kowalchuk, Keean Lehtinen",Semi-Annual Renewal,Archived,View 
2022-06-17,-,New West Public Affairs,AXON,Monte Solberg,Alberta Justice and Solicitor General,-,Justice and Law Enforcement,CL-12393-03,Consultant Lobbyist,"Gordon Olsen, Matt Solberg, Monte Solberg, Sonia Kont, Tristan Bray, Sarah Painchaud, Keith McLaughlin",Notice of Change,Archived,View 
2022-06-16,-,Canadian Consumer Specialty Products Association (CCSPA),-,Shannon Coombs,"Alberta Labour and Immigration, Alberta Environment and Parks, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office",-,"Employment and Training, Health, Environment",OL-10230-15,Organization Lobbyist,"Shannon Coombs, Stephanie Golden, Simon Kinsman",Semi-Annual Renewal,Archived,View 
2022-06-16,-,Wellington Advocacy Inc.,SHAD Canada,Nick Koolsbergen,Alberta Education,-,K-12 Education,CL-11466-09,Consultant Lobbyist,"Brad Tennant, Trisha Rinneard, Nick Koolsbergen, Matt de Jong, Peter Csillag",Notice of Change,Archived,View 
2022-06-16,-,Wellington Advocacy Inc.,Heartland Generation Ltd.,Nick Koolsbergen,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Treasury Board and Finance, Premier's Office",Invest Alberta Corporation,Energy,CL-12766-02,Consultant Lobbyist,"Brad Tennant, Peter Csillag, Matt de Jong, Nick Koolsbergen",Notice of Change,Archived,View 
2022-06-15,-,ConocoPhillips Canada Resources Corp.,-,Bijan Agarwal,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator","Energy, Climate, Environment, Municipal Affairs",OL-10099-31,Organization Lobbyist,"Jodi Prior, Cary Allan, Jeff Gow, Fred Walter, Robert Albricht, Kim Iverson, Peter Koning, Rickie-Lee Doyle, Chris Malkin, Charlotte Plombin, Bijan Agarwal, Gunnar Johnsen, Devin O'Neal, James Makowecki, Eamon Marron, Tyler Blasetti",Notice of Change,Archived,View 
